,state,timestamp,id_house,id_sensor
210,off,1676030084.096095,8,49
211,on,1676030084.261916,8,49
212,off,1676030099.260927,8,49
213,on,1676030109.973106,8,49
214,off,1676030124.974875,8,49
215,on,1676030176.632193,8,49
216,off,1676030191.633955,8,49
217,on,1676030347.038123,8,49
218,off,1676030358.176912,8,51
219,off,1676030362.039477,8,49
220,on,1676030464.459793,8,51
221,on,1676030465.298246,8,49
222,off,1676030480.299579,8,49
223,on,1676030518.981001,8,49
224,off,1676030533.98958,8,49
225,off,1676030534.461133,8,51
226,on,1676030579.303267,8,51
227,on,1676030580.323498,8,49
228,off,1676030595.326959,8,49
229,on,1676030607.254706,8,49
230,off,1676030622.259061,8,49
231,on,1676030648.318783,8,49
232,off,1676030649.30111,8,51
233,off,1676030663.315846,8,49
234,on,1676030676.197441,8,51
235,on,1676030680.344864,8,49
236,off,1676030695.346462,8,49
237,on,1676030695.441526,8,49
238,off,1676030710.442962,8,49
239,off,1676030746.197954,8,51
240,on,1676030794.712664,8,49
241,off,1676030809.715459,8,49
242,on,1676030827.359691,8,49
243,off,1676030842.356655,8,49
244,on,1676030843.053511,8,49
245,off,1676030858.054255,8,49
246,on,1676031408.169278,8,51
247,off,1676031478.171443,8,51
248,on,1676032111.14329,8,51
249,off,1676032181.145786,8,51
250,on,1676032409.384806,8,49
251,on,1676032409.442366,8,50
252,on,1676032409.517533,8,51
253,on,1676032411.129264,8,46
254,on,1676032411.442542,8,48
255,off,1676032416.445909,8,48
256,off,1676032424.385575,8,49
257,off,1676032424.438147,8,50
258,off,1676032479.51902,8,51
259,off,1676459990.785602,8,50
260,on,1676459991.580961,8,48
261,on,1676459992.050587,8,49
262,off,1676459996.58063,8,48
263,off,1676460162.824184,8,46
264,on,1676460165.757605,8,46
265,off,1676460166.092634,8,46
266,on,1676460167.571947,8,46
267,off,1676460169.844758,8,46
268,on,1676460170.725762,8,46
269,off,1676460171.428455,8,46
270,off,1676460173.316708,8,50
271,off,1676460173.449774,8,45
272,on,1676460173.88847,8,46
273,on,1676460174.840867,8,49
274,on,1676460177.288075,8,45
275,off,1676460177.795865,8,46
276,off,1676460177.850168,8,45
277,on,1676460178.535183,8,45
278,off,1676460178.786044,8,45
279,on,1676460179.020417,8,45
280,on,1676460180.465195,8,48
281,off,1676460185.465433,8,48
282,on,1676460188.078136,8,50
283,off,1676460189.840453,8,49
284,off,1676460192.039155,8,45
285,on,1676460193.104849,8,45
286,off,1676460203.079465,8,50
287,on,1676460204.604702,8,49
288,on,1676460218.197461,8,50
289,off,1676460219.605492,8,49
290,on,1676460220.220566,8,48
291,off,1676460225.221794,8,48
292,off,1676460233.198634,8,50
293,on,1676460234.369623,8,49
294,on,1676460247.953447,8,50
295,off,1676460249.371035,8,49
296,off,1676460252.315739,8,45
297,on,1676460255.294047,8,48
298,on,1676460256.001052,8,45
299,off,1676460260.297911,8,48
300,off,1676460262.954541,8,50
301,on,1676460264.136431,8,49
302,off,1676460279.136638,8,49
303,on,1676460293.903709,8,49
304,on,1676460295.967833,8,48
305,off,1676460298.921936,8,45
306,off,1676460300.966743,8,48
307,on,1676460307.602768,8,45
308,off,1676460308.900664,8,49
309,off,1676460320.05112,8,45
310,on,1676460323.671054,8,49
311,on,1676460332.818077,8,48
312,off,1676460337.821101,8,48
313,off,1676460338.666342,8,49
314,on,1676460353.434024,8,49
315,on,1676460358.978637,8,45
316,on,1676460362.598016,8,48
317,off,1676460365.855382,8,45
318,on,1676460365.91928,8,46
319,off,1676460366.147623,8,46
320,off,1676460367.603468,8,48
321,off,1676460368.434741,8,49
322,off,1676460373.255337,8,46
323,on,1676460383.198842,8,49
324,on,1676460385.639348,8,46
325,off,1676460388.838506,8,46
326,on,1676460397.051671,8,48
327,off,1676460398.200293,8,49
328,off,1676460402.053413,8,48
329,on,1676460424.327832,8,49
330,off,1676460439.328145,8,49
331,on,1676460460.585293,8,49
332,on,1676460468.358889,8,48
333,off,1676460473.361468,8,48
334,off,1676460475.589262,8,49
335,on,1676460498.185515,8,48
336,on,1676460501.656391,8,49
337,off,1676460503.177872,8,48
338,off,1676460516.653133,8,49
339,on,1676460527.944319,8,48
340,on,1676460531.402615,8,49
341,off,1676460532.944497,8,48
342,off,1676460546.40143,8,49
343,on,1676460556.308378,8,50
344,on,1676460557.725039,8,48
345,on,1676460559.21955,8,46
346,off,1676460559.317341,8,46
347,on,1676460559.443654,8,46
348,on,1676460561.16493,8,49
349,off,1676460561.523453,8,46
350,off,1676460562.728394,8,48
351,on,1676460563.279853,8,46
352,off,1676460564.338631,8,46
353,on,1676460564.726226,8,46
354,off,1676460571.31057,8,50
355,off,1676460576.160342,8,49
356,on,1676460590.932826,8,49
357,off,1676460595.859818,8,46
358,on,1676460595.939604,8,46
359,on,1676460603.07654,8,50
360,on,1676460603.842562,8,48
361,off,1676460605.931898,8,49
362,off,1676460608.843576,8,48
363,off,1676460613.195944,8,46
364,on,1676460613.622272,8,46
365,off,1676460618.078515,8,50
366,off,1676460626.463135,8,46
367,on,1676460629.849978,8,46
368,on,1676460630.198792,8,49
369,off,1676460636.893274,8,51
370,on,1676460638.885925,8,50
371,on,1676460639.294744,8,48
372,off,1676460644.294816,8,48
373,off,1676460645.193299,8,49
374,off,1676460653.886272,8,50
375,on,1676460661.133512,8,49
376,off,1676460673.189664,8,46
377,off,1676460676.133578,8,49
378,on,1676460685.203907,8,46
379,on,1676460685.736507,8,48
380,off,1676460687.306255,8,46
381,on,1676460687.461003,8,46
382,off,1676460688.761592,8,46
383,on,1676460689.201804,8,46
384,off,1676460690.736961,8,48
385,off,1676460693.766945,8,46
386,on,1676460694.386661,8,46
387,on,1676460695.932517,8,49
388,off,1676460710.935068,8,49
389,off,1676460720.721156,8,46
390,on,1676460721.48896,8,46
391,on,1676460725.694873,8,49
392,off,1676460726.174763,8,46
393,on,1676460728.237248,8,48
394,on,1676460733.192605,8,46
395,off,1676460733.237049,8,48
396,off,1676460734.12516,8,46
397,on,1676460734.325804,8,46
398,off,1676460734.544908,8,46
399,on,1676460735.307139,8,46
400,off,1676460735.926572,8,46
401,on,1676460737.271182,8,46
402,off,1676460740.694701,8,49
403,off,1676460749.328885,8,46
404,on,1676460749.963306,8,46
405,off,1676460755.296805,8,46
406,on,1676460755.450353,8,49
407,on,1676460755.605649,8,46
408,off,1676460765.262574,8,46
409,off,1676460770.451482,8,49
410,on,1676460785.218159,8,49
411,on,1676460787.558936,8,51
412,off,1676460800.217784,8,49
413,on,1676460805.880513,8,50
414,on,1676460806.404354,8,48
415,off,1676460811.40569,8,48
416,on,1676460814.978491,8,49
417,off,1676460820.879834,8,50
418,on,1676460826.653166,8,46
419,off,1676460829.978818,8,49
420,on,1676460838.859116,8,50
421,on,1676460843.583214,8,48
422,off,1676460844.574469,8,46
423,on,1676460844.740185,8,49
424,off,1676460848.585007,8,48
425,on,1676460850.75701,8,46
426,on,1676460850.807034,8,46
427,off,1676460853.863867,8,50
428,off,1676460859.74172,8,49
429,on,1676460869.743828,8,50
430,on,1676460873.369185,8,48
431,on,1676460874.500416,8,49
432,off,1676460878.367651,8,48
433,off,1676460884.743741,8,50
434,off,1676460889.502393,8,49
435,on,1676461052.289252,8,48
436,off,1676461057.290379,8,48
437,off,1676461057.361782,8,49
438,off,1676461063.27908,8,50
439,on,1676461063.718817,8,51
440,on,1676461067.004745,8,46
441,off,1676461067.187793,8,46
442,on,1676461067.950582,8,46
443,off,1676461070.633851,8,46
444,on,1676461078.019198,8,49
445,on,1676461078.277974,8,50
446,on,1676461082.147873,8,48
447,on,1676461082.683773,8,46
448,off,1676461083.14433,8,46
449,on,1676461083.836354,8,46
450,off,1676461087.151922,8,48
451,off,1676461093.021967,8,49
452,off,1676461093.279806,8,50
453,off,1676461098.95306,8,46
454,on,1676461102.245477,8,46
455,on,1676461108.033639,8,50
456,on,1676461111.932932,8,48
457,off,1676461116.935054,8,48
458,on,1676461118.824354,8,49
459,off,1676461123.033565,8,50
460,off,1676461123.618928,8,46
461,off,1676461133.824208,8,49
462,on,1676461134.253296,8,46
463,on,1676461137.782682,8,50
464,on,1676461141.724073,8,48
465,off,1676461146.725051,8,48
466,off,1676461152.785628,8,50
467,on,1676461167.530756,8,50
468,on,1676461175.031646,8,48
469,off,1676461180.030857,8,48
470,off,1676461182.531954,8,50
471,off,1676461187.969,8,46
472,on,1676461194.295593,8,46
473,on,1676461197.276998,8,50
474,off,1676461199.940361,8,46
475,on,1676461205.276452,8,48
476,off,1676461210.275845,8,48
477,off,1676461212.28319,8,50
478,on,1676461227.093835,8,50
479,on,1676461237.501704,8,48
480,on,1676461241.701928,8,49
